+----------------------------------------------------------------------
|  File: profile.txt
|  Date: 2008.07.23 00:23:21 AM
+----------------------------------------------------------------------


+--------------------------------------
| Most expensive methods (by net time)
| Frame Count Limit: Unlimited
+--------------------------------------

               Net
          ------------
 Count     Time    Pct  Location
 =====     ====    ===  ========
     1  14357.8   47.5  simpull.SimpullTest:<init>
 23693   3555.1   11.9  simpull.SimpleSpring$SpringParticle:updatePosition
111834   3133.3   10.4  simpull.SimpullCollection:detectCollisionDelegate
 46930   2526.9    8.4  simpull.SimpullCollection:detectCollisionDelegate
    19   2451.0    8.2  simpull.SimpullCollection:checkInternalCollisions
    57   2057.9    6.9  simpull.SimpullCollection:checkCollisionsVsCollection
 28101   1602.9    5.3  simpull.SimpullCollection:testCollisionOBBvsOBB
 23712   1370.4    4.6  simpull.SimpullCollection:testCollisionOBBvsCircle
 23693   1299.3    4.3  simpull.SimpullCollection:testCollisionOBBvsCircle
 53295   1129.5    3.8  simpull.SimpullCollection:detectCollisionNormVsNorm
 53295   1128.9    3.8  simpull.SimpullCollection:testCollisionDelegate
 20064   1120.8    3.7  simpull.SimpullCollection:testCollisionOBBvsOBB
 46930    993.0    3.3  simpull.SimpullCollection:detectCollisionNormVsNorm
 46930    984.8    3.3  simpull.SimpullCollection:testCollisionDelegate
 23693    859.6    2.9  simpull.Rectangle:setRotation
 23693    522.1    1.7  simpull.SimpleSpring:getRotation
 23693    483.4    1.6  simpull.SimpleSpring:getCenter
106590    465.2    1.6  simpull.Particle:getMultisample
 93860    408.2    1.4  simpull.Particle:getMultisample
 60052    264.1    0.9  simpull.Rectangle:getProjection
 42160    183.2    0.6  simpull.Rectangle:getProjection
  3173    167.6    0.6  simpull.SimpullCollection:testCollisionCirclevsCircle
  1121    167.3    0.6  simpull.SimpleSpring:resolve
 35207    153.3    0.5  simpull.SimpleSpring:isCollidable
 30026    133.7    0.4  simpull.SimpullCollection:testIntervals
 23693    117.9    0.4  simpull.Rectangle:setAxes
  1482    114.3    0.4  simpull.SimpullCollection:testCollisionCirclevsCircle
 25580    113.2    0.4  simpull.Circle:getProjection
 25580    111.1    0.4  simpull.Rectangle:getProjection
 25580    110.3    0.4  simpull.SimpullCollection:testIntervals
 24351    106.0    0.4  simpull.Rectangle:getProjection
 24351    105.3    0.4  simpull.SimpullCollection:testIntervals
 24351    105.3    0.4  simpull.Circle:getProjection
 23693    103.7    0.3  simpull.Vector2f:<init>
 23693    103.5    0.3  simpull.SimpleSpring:getFixed
 23693    103.1    0.3  simpull.SimpleSpring$SpringParticle:getRectHeight
 23693    103.1    0.3  simpull.Vector2f:<init>
 23693    102.9    0.3  simpull.Rectangle:setWidth
 23693    102.6    0.3  simpull.SimpleSpring:getCollisionParticle
 23693    102.5    0.3  simpull.SimpleSpring:getRestLength
 23693    102.1    0.3  simpull.SimpleSpring:isConnectedTo
 23693    101.6    0.3  simpull.Rectangle:setHeight
 23693    101.3    0.3  simpull.SimpleSpring$SpringParticle:getRectScale
 23693    101.3    0.3  simpull.Particle:setRotation
 21080     90.9    0.3  simpull.SimpullCollection:testIntervals
   145     72.6    0.2  simpull.SimpullCollection:initiateCollisionResponse
     1     50.2    0.2  simpull.SimpullTest:main
    19     46.8    0.2  simpull.events.EventManager:manageEvents
    19     35.2    0.1  simpull.SimpullCollection:integrate
  1824     29.1    0.1  simpull.Particle:update
  6346     29.1    0.1  simpull.Circle:getIntervalX
  6726     28.8    0.1  simpull.Particle:getInvMass
  5947     25.8    0.1  simpull.SimpleSpring:isCollidable
  1121     24.7    0.1  simpull.SimpleSpring:getCurrLength
    46     22.9    0.1  simpull.SimpullCollection:initiateCollisionResponse
   142     22.5    0.1  simpull.Wheel:resolve
    57     17.4    0.1  simpull.SimpullCollection:satisfyConstraints
   247     17.1    0.1  simpull.Particle:update
   290     15.5    0.1  simpull.SimpullCollection:populateCollision
  3192     14.3    0.0  simpull.SimpullCollection:testIntervals
   209     14.2    0.0  simpull.Particle:update
  2964     12.9    0.0  simpull.Circle:getIntervalX
    96     11.6    0.0  simpull.Particle:<init>
  2527     10.8    0.0  simpull.Particle:getEventQueue
   286     10.7    0.0  simpull.Particle:getCenter
     1     10.2    0.0  simpull.SimpullTest:load
   142      9.7    0.0  simpull.Wheel:respondToCollision
  2052      9.4    0.0  simpull.SimpullCollection:testIntervals
   247      8.0    0.0  simpull.Wheel:update
    56      7.8    0.0  simpull.SimpleSpring$SpringParticle:closestPtSegmentSegment
   195      7.5    0.0  simpull.SimpleSpring$SpringParticle:getInvMass
   290      7.3    0.0  simpull.Particle:getVelocity
   148      7.2    0.0  simpull.Particle:addCollisionEvent
    26      6.8    0.0  simpull.Composite:rotateBy
   323      6.6    0.0  simpull.Particle:getVelocity
  1450      6.3    0.0  simpull.Particle:getInvMass
   148      6.0    0.0  simpull.Particle:respondToCollision
   142      5.9    0.0  simpull.Particle:addCollisionEvent
  1121      5.8    0.0  simpull.SimpleSpring:getRestLength
   290      5.7    0.0  simpull.Collision:copy
  1140      5.4    0.0  simpull.Circle:getIntervalY
    92      5.1    0.0  simpull.SimpullCollection:populateCollision
   247      5.0    0.0  simpull.Particle:getVelocity
   142      4.9    0.0  simpull.Particle:respondToCollision
   494      4.8    0.0  simpull.Vector2f:<init>
  1121      4.8    0.0  simpull.Vector2f:<init>
  1121      4.8    0.0  simpull.Vector2f:<init>
   480      4.4    0.0  simpull.Vector2f:<init>
  1015      4.4    0.0  simpull.Vector2f:<init>
   209      4.2    0.0  simpull.Particle:getVelocity
    96      4.1    0.0  simpull.Rectangle:<init>
   171      3.7    0.0  simpull.Particle:eventAttemptNotify
    38      3.5    0.0  simpull.SimpullCollection:integrate
    25      3.5    0.0  simpull.Wheel:resolve
   154      3.3    0.0  simpull.Particle:eventAttemptNotify
     2      3.3    0.0  simpull.CustomBodyFinisher:finish
   142      3.2    0.0  simpull.Vector2f:normalize
   142      3.1    0.0  simpull.Particle:getVelocity
   148      3.1    0.0  simpull.events.Event:<init>
   148      3.0    0.0  simpull.events.sample.Events$CollisionEvent:<init>
   142      2.9    0.0  simpull.events.Event:<init>
   646      2.8    0.0  simpull.Vector2f:<init>
   142      2.8    0.0  simpull.events.sample.Events$CollisionEvent:<init>
    39      2.5    0.0  simpull.SimpleSpring$SpringParticle:respondToCollision
   247      2.5    0.0  simpull.Wheel$Rim:update
   580      2.5    0.0  simpull.Vector2f:<init>
    39      2.4    0.0  simpull.SimpleSpring$SpringParticle:getContactPointParam
    96      2.3    0.0  simpull.Rectangle:setRotation
     1      2.2    2.0  simpull.VectorForce:<init>
     2      2.1    0.0  simpull.Composite:setCompositeCompleted
    39      2.1    0.0  simpull.Particle:addCollisionEvent
    19      2.1    0.0  simpull.Group:checkCollisionGroupInternal
    19      2.0    0.0  simpull.Simpull:step
     1      2.0    1.8  simpull.SimpullTest:keyPressed
   418      2.0    0.0  simpull.Vector2f:<init>
   286      1.9    0.0  simpull.Particle:getX
   426      1.8    0.0  simpull.Wheel$Rim:getSpeed
   390      1.8    0.0  simpull.Particle:getMass
   426      1.8    0.0  simpull.Vector2f:<init>
    92      1.8    0.0  simpull.Collision:copy
    38      1.8    0.0  simpull.Composite:integrate
    25      1.7    0.0  simpull.Wheel:respondToCollision
    11      1.6    0.0  simpull.Particle:<init>
   323      1.6    0.0  simpull.Vector2f:<init>
   265      1.6    0.0  simpull.Particle:getInvMass
   148      1.6    0.0  simpull.events.Event:init
    78      1.5    0.0  simpull.Particle:getVelocity
    31      1.5    0.0  simpull.SimpleSpring:setCollidable
     1      1.5    1.4  simpull.SimpullTest:keyPressed
